state,agency,siteName,imageCount,resolvedImageCount,candidateName,reason
,Bureau of Land Management,Arctic Interagency Visitor Center,1,1,Arctic Interagency Visitor Center,No confident pin match
Arizona,Bureau of Land Management,Arizona National Scenic Trail,3,3,,No confident pin match
Arizona,Bureau of Land Management,Desert Fishes,1,1,Desert Fishes,No confident pin match
Colorado,Bureau of Land Management,Gold Belt Byway,2,2,Gold Belt Byway,No confident pin match
Idaho,Bureau of Land Management,Idaho jr,1,1,,No confident pin match
Idaho,Bureau of Land Management,Upper Snake,1,1,Upper Snake,No confident pin match
Nevada,Bureau of Land Management,Lovelock Cave Historic Site,1,1,Lovelock Cave Historic Site,No confident pin match
New Mexico,Bureau of Land Management,Prehistoric Trackways National Monument,1,1,Prehistoric Trackways National Monument,No confident pin match
North Dakota,Bureau of Land Management,Schnell Ranch Recreation Area,1,1,Schnell Ranch Recreation Area,No confident pin match
Oregon,Bureau of Land Management,Button Pins,1,1,Button Pins,No confident pin match
Oregon,Bureau of Land Management,Provolt Recreation Site,1,1,Provolt Recreation Site,No confident pin match
Oregon,Bureau of Land Management,Table Rocks Management Area,1,1,Table Rocks Management Area,No confident pin match
Utah,Bureau of Land Management,Cleveland-Lloyd Dinosaur Quarry (CLDQ) at Jurassic National Monument,1,1,Cleveland-Lloyd Dinosaur Quarry (CLDQ) at Jurassic National Monument,No confident pin match
Utah,Bureau of Land Management,Transcontinental Railroad,3,3,Transcontinental Railroad,No confident pin match
Washington,Bureau of Land Management,BLM SWAG,11,11,BLM SWAG,No confident pin match
Washington,Bureau of Land Management,El Centro Field Office,1,1,El Centro Field Office,No confident pin match
Washington,Bureau of Land Management,Santa Rosa and San Jacinto Mtns National Monument,2,2,Santa Rosa and San Jacinto Mtns National Monument,No confident pin match
Wyoming,Bureau of Land Management,Buffalo Field Office,2,2,Buffalo Field Office,No confident pin match
Wyoming,Bureau of Land Management,Miscellaneous,15,12,,No confident pin match
,National Park Service,Anacostia Park,3,3,Anacostia Park,No confident pin match
,National Park Service,Belmont-Paul Women's Equality National Monument,2,2,Belmont-Paul Women's Equality National Monument,No confident pin match
,National Park Service,Carter G. Woodson Home National Historic Site,3,3,Carter G. Woodson Home National Historic Site,No confident pin match
,National Park Service,Civil War Defenses of Washington,2,2,Civil War Defenses of Washington,No confident pin match
,National Park Service,Ford's Theatre,7,7,Ford's Theatre,No confident pin match
,National Park Service,Fort Dupont Park,2,2,Fort Dupont Park,No confident pin match
,National Park Service,Frederick Douglass National Historic Site,5,5,Frederick Douglass National Historic Site,No confident pin match
,National Park Service,Kenilworth Park and Aquatic Gardens,7,7,Kenilworth Park and Aquatic Gardens,No confident pin match
,National Park Service,Mary McLeod Bethune Council House National Historic Site,4,4,Mary McLeod Bethune Council House National Historic Site,No confident pin match
,National Park Service,National Park of American Samoa,5,5,,No confident pin match
,National Park Service,Old Post Office Tower,3,3,Old Post Office Tower,No confident pin match
,National Park Service,Presendential Inauguration,4,4,Presendential Inauguration,No confident pin match
,National Park Service,Resurrection City,1,1,Resurrection City,No confident pin match
,National Park Service,Salt River Bay National Historical Park and Ecological Preserve,2,2,Salt River Bay National Historical Park and Ecological Preserve,No confident pin match
,National Park Service,United States Navy Memorial,1,1,United States Navy Memorial,No confident pin match
,National Park Service,United States Park Police,2,2,United States Park Police,No confident pin match
,National Park Service,Virgin Islands National Park,8,8,,No confident pin match
,National Park Service,"White House Easter Egg Roll , 2 0 11 , Sticker",3,3,"White House Easter Egg Roll , 2 0 11 , Sticker",No confident pin match
Alaska,National Park Service,Alaska Adventure Ranger,2,2,Alaska Adventure Ranger,No confident pin match
Alaska,National Park Service,Alaska Greatland,3,3,Alaska Greatland,No confident pin match
Alaska,National Park Service,Alaska Junior Wildlife Ranger,3,3,Alaska Junior Wildlife Ranger,No confident pin match
Alaska,National Park Service,Alaska's National Units,1,1,,No confident pin match
Alaska,National Park Service,Aleutian World War II National Historic Area,1,1,Aleutian World War II National Historic Area,No confident pin match
Arizona,National Park Service,Coronado National Memorial,5,5,Coronado National Memorial,No confident pin match
Arizona,National Park Service,"Joint patch with Sunset Crater NM, Walnut Canyon NM, and W upatki NM",26,12,"Joint patch with Sunset Crater NM, Walnut Canyon NM, and W upatki NM",No confident pin match
Arizona,National Park Service,Montezuma Well,4,4,Montezuma Well,No confident pin match
Arizona,National Park Service,Navajo Nation Parks and Recreation,2,2,Navajo Nation Parks and Recreation,No confident pin match
Arizona,National Park Service,Parashant National Monument,4,4,Parashant National Monument,No confident pin match
Arizona,National Park Service,Tonto National Monument,7,7,Tonto National Monument,No confident pin match
Arizona,National Park Service,Tumacácori National Historical Park,4,4,Tumacácori National Historical Park,No confident pin match
Arkansas,National Park Service,Arkansas' National Units,12,12,,No confident pin match
Arkansas,National Park Service,"Fort Smith National Historic Site, AR, OK",7,7,"Fort Smith National Historic Site, AR, OK",No confident pin match
California,National Park Service,2019,26,12,,No confident pin match
California,National Park Service,Devils Postpile National Monument,3,3,Devils Postpile National Monument,No confident pin match
California,National Park Service,Juan Bautista de Anza National Historic Trail,6,6,Juan Bautista de Anza National Historic Trail,No confident pin match
California,National Park Service,"Old Spanish National Historic Trail, AZ,CA,CO,NV,NM,UT",9,9,"Old Spanish National Historic Trail, AZ,CA,CO,NV,NM,UT",No confident pin match
California,National Park Service,Rosie the Riveter WWII Home Front National Historical Park,6,6,Rosie the Riveter WWII Home Front National Historical Park,No confident pin match
Colorado,National Park Service,"California National Historic Trail, CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",18,12,"California National Historic Trail, CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",No confident pin match
Colorado,National Park Service,Colorado National Monument,13,12,,No confident pin match
Colorado,National Park Service,Colorado's National Units,1,1,,No confident pin match
Connecticut,National Park Service,Farmington National Wild and Scenic River,2,2,Farmington National Wild and Scenic River,No confident pin match
Delaware,National Park Service,"First State National Historical Park, DE,PA",5,5,"First State National Historical Park, DE,PA",No confident pin match
Florida,National Park Service,"Gulf Islands National Seashore , FL,MS",10,10,"Gulf Islands National Seashore , FL,MS",No confident pin match
Florida,National Park Service,Timucuan Ecological and Historic Preserve,4,4,Timucuan Ecological and Historic Preserve,No confident pin match
Florida,National Park Service,Timucuan Trail,2,2,Timucuan Trail,No confident pin match
Georgia,National Park Service,Georgia's National Units,3,3,,No confident pin match
Georgia,National Park Service,Ocmulgee National Historical Park,7,7,Ocmulgee National Historical Park,No confident pin match
Georgia,National Park Service,Roving Junior Ranger Program - Metro Atlanta,1,1,Roving Junior Ranger Program - Metro Atlanta,No confident pin match
Hawaii,National Park Service,Hawai'i Island National Parks,1,1,Hawai'i Island National Parks,No confident pin match
Hawaii,National Park Service,Hawai'i Pacific Parks,1,1,Hawai'i Pacific Parks,No confident pin match
Hawaii,National Park Service,Hawai'i Volcanoes National Park,10,10,Hawai'i Volcanoes National Park,No confident pin match
Hawaii,National Park Service,"WWII Valor in the Pacific National Monument, prior to March 12, 2019",1,1,"WWII Valor in the Pacific National Monument, prior to March 12, 2019",No confident pin match
Idaho,National Park Service,Idaho pix,1,1,,No confident pin match
Idaho,National Park Service,"Minidoka National Historic Site, ID,WA",3,3,"Minidoka National Historic Site, ID,WA",No confident pin match
Illinois,National Park Service,I and M Canal National Heritage Area,1,1,I and M Canal National Heritage Area,No confident pin match
Indiana,National Park Service,"Indiana Dunes National Lakeshore, before February 15, 2019",20,12,"Indiana Dunes National Lakeshore, before February 15, 2019",No confident pin match
Indiana,National Park Service,Indiana's National Units,8,8,,No confident pin match
Kentucky,National Park Service,"Cumberland Gap National Historical Park, KY,TN,VA",8,8,"Cumberland Gap National Historical Park, KY,TN,VA",No confident pin match
Kentucky,National Park Service,Patch on the left is embroidered whereas the patch on the right is a decal.,4,4,Patch on the left is embroidered whereas the patch on the right is a decal.,No confident pin match
Maine,National Park Service,Roosevelt Campobello International Park,1,1,Roosevelt Campobello International Park,No confident pin match
Maryland,National Park Service,Captain John Smith Chesapeake National Historic Trail,2,2,Captain John Smith Chesapeake National Historic Trail,No confident pin match
Maryland,National Park Service,"Chesapeake Bay, DC, DE, MD, NY, PA, VA, WV",9,9,"Chesapeake Bay, DC, DE, MD, NY, PA, VA, WV",No confident pin match
Maryland,National Park Service,"Chesapeake and Ohio Canal National Historical Park, DC MD, WV",7,7,"Chesapeake and Ohio Canal National Historical Park, DC MD, WV",No confident pin match
Maryland,National Park Service,Fort McHenry National Monument and Historic Shrine,9,9,Fort McHenry National Monument and Historic Shrine,No confident pin match
Maryland,National Park Service,"Star-Spangled Banner National Historic Trail, DC, MD, VA",3,3,"Star-Spangled Banner National Historic Trail, DC, MD, VA",No confident pin match
Massachusetts,National Park Service,"Longfellow National Historic Site, prior to December 22, 2010",2,2,"Longfellow National Historic Site, prior to December 22, 2010",No confident pin match
Massachusetts,National Park Service,The badges look the same but notice the hyphen on the badge to the right,2,2,The badges look the same but notice the hyphen on the badge to the right,No confident pin match
Massachusetts,National Park Service,US Lighthouse Service part of Boston Harbor Islands National Recreation Area,4,4,US Lighthouse Service part of Boston Harbor Islands National Recreation Area,No confident pin match
Michigan,National Park Service,Motor Cities National Heritage Area,1,1,Motor Cities National Heritage Area,No confident pin match
Minnesota,National Park Service,Mississippi National River and Recreation Area,4,4,,No confident pin match
Minnesota,National Park Service,"Saint Croix National Scenic Riverway, WI,MN ( See Wisconsin )",12,12,"Saint Croix National Scenic Riverway, WI,MN ( See Wisconsin )",No confident pin match
Mississippi,National Park Service,"Corinth part of Shiloh National Military Park , TN,MS, (Tennessee)",2,2,"Corinth part of Shiloh National Military Park , TN,MS, (Tennessee)",No confident pin match
Mississippi,National Park Service,Medgar and Myrlie Evers Home National Monument,4,4,Medgar and Myrlie Evers Home National Monument,No confident pin match
Missouri,National Park Service,Jeff Memorial,2,2,Jeff Memorial,No confident pin match
Missouri,National Park Service,Jeff Memorial 50th ann,1,1,Jeff Memorial 50th ann,No confident pin match
Missouri,National Park Service,Jeff Memorial science,1,1,Jeff Memorial science,No confident pin match
Missouri,National Park Service,Jefferson Arch Penny,1,1,Jefferson Arch Penny,No confident pin match
Missouri,National Park Service,Ozark National Scenic Riverways,6,6,Ozark National Scenic Riverways,No confident pin match
Montana,National Park Service,"Bighorn Canyon National Recreation Area, MT,WY",3,3,"Bighorn Canyon National Recreation Area, MT,WY",No confident pin match
Montana,National Park Service,Montana's National Units,5,5,,No confident pin match
Nebraska,National Park Service,"Homestead National Monument of America, prior to January 13, 2021",7,7,"Homestead National Monument of America, prior to January 13, 2021",No confident pin match
Nebraska,National Park Service,"Lewis and Clark National Historic Trail, Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA",20,12,"Lewis and Clark National Historic Trail, Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA",No confident pin match
Nebraska,National Park Service,Niobrara National Scenic River,3,3,Niobrara National Scenic River,No confident pin match
New Jersey,National Park Service,Paterson Great Falls National Historical Park,5,5,Paterson Great Falls National Historical Park,No confident pin match
New Mexico,National Park Service,El Camino Real de Tierra Adentro National Historic Trail,5,5,El Camino Real de Tierra Adentro National Historic Trail,No confident pin match
New Mexico,National Park Service,"Manhattan Project National Historical Park, NM,WA,TN (Also see Tennessee and Washington State )",4,4,"Manhattan Project National Historical Park, NM,WA,TN (Also see Tennessee and Washington State )",No confident pin match
New Mexico,National Park Service,Salinas Pueblo Missions National Monument,12,12,Salinas Pueblo Missions National Monument,No confident pin match
New Mexico,National Park Service,"Santa Fe National Historic Trail, CO,KS,MO,NM,OK",14,12,"Santa Fe National Historic Trail, CO,KS,MO,NM,OK",No confident pin match
New York,National Park Service,"Ellis Island, Part of Statue of Liberty National Monument",17,12,"Ellis Island, Part of Statue of Liberty National Monument",No confident pin match
New York,National Park Service,Erie Canalway National Heritage Corridor,3,3,Erie Canalway National Heritage Corridor,No confident pin match
New York,National Park Service,Manhattan Sites,2,2,Manhattan Sites,No confident pin match
New York,National Park Service,"National Parks of New York Harbor, Northern New Jersey and New York City, NY",1,1,"National Parks of New York Harbor, Northern New Jersey and New York City, NY",No confident pin match
New York,National Park Service,Theodore Roosevelt Inaugural National Historic Site,2,2,Theodore Roosevelt Inaugural National Historic Site,No confident pin match
North Carolina,National Park Service,"Blue Ridge National Parkway, NC, VA",8,8,"Blue Ridge National Parkway, NC, VA",No confident pin match
Oklahoma,National Park Service,Oklahoma Outdoor Junior Ranger,1,1,Oklahoma Outdoor Junior Ranger,No confident pin match
Oregon,National Park Service,"Lewis and Clark National Historical Park, OR,WA",14,12,"Lewis and Clark National Historical Park, OR,WA",No confident pin match
Oregon,National Park Service,"Oregon Caves National Monument, prior to December 19, 2014",3,3,"Oregon Caves National Monument, prior to December 19, 2014",No confident pin match
Pennsylvania,National Park Service,"Delaware Water Gap National Recreation Area, NJ, PA",10,10,"Delaware Water Gap National Recreation Area, NJ, PA",No confident pin match
Pennsylvania,National Park Service,"Germantown White House, part of Independence National Historical Park",2,2,"Germantown White House, part of Independence National Historical Park",No confident pin match
