pinIds,sourceState,sourceAgency,sourceSiteName,imageTitle,imagePath,reason
jr_georgia_chattahoochee_river_nra,Georgia,National Park Service,Chattahoochee River National Recreation Area,chattNRA,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Georgia/039 - chattNRA.jpeg - 982c211f5c.jpg,Image title did not match mapped site tokens
jr_georgia_chattahoochee_river_nra,Georgia,National Park Service,Chattahoochee River National Recreation Area,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/062 - Generic - 6b20209cfe.jpg,Image title did not match mapped site tokens
jr_georgia_chickamauga_and_chattanooga_nmp,Georgia,National Park Service,Chickamauga and Chattanooga National Military Park,National Park Map 7-1-19,/Users/carterswarm/Downloads/JR_Rewards_Badges/Other National Agencies/_Agency Header/001 - National Park Map 7-1-19.jpeg - 4f416e1845.jpg,Image title did not match mapped site tokens
jr_georgia_fort_frederica_nm,Georgia,National Park Service,Fort Frederica National Monument,Generic,/Users/carterswarm/Downloads/JR_Rewards_Badges/Bark Ranger/_Agency Header/037 - Generic - 510f28b342.jpg,Image title did not match mapped site tokens
jr_hawaii_haleakal_np,Hawaii,National Park Service,Haleakalā National Park,Halo wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Hawaii/044 - Halo wooden.jpeg - fd8cd2b573.jpg,Image title did not match mapped site tokens
jr_hawaii_pearl_harbor_nm,Hawaii,National Park Service,Pearl Harbor National Memorial,USS Arizona badge3,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Hawaii/014 - USS Arizona badge3.jpeg - fd9533409c.jpg,Image title did not match mapped site tokens
jr_hawaii_pu_ukohol_heiau_nhs,Hawaii,National Park Service,Pu`ukoholā Heiau National Historic Site,Kupuna,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Hawaii/023 - Kupuna.jpeg - bd0b23a683.jpg,Image title did not match mapped site tokens
jr_hawaii_pu_ukohol_heiau_nhs,Hawaii,National Park Service,Pu`ukoholā Heiau National Historic Site,Puu,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Hawaii/025 - Puu.jpeg - dd639daa8f.jpg,Image title did not match mapped site tokens
jr_idaho_city_of_rocks_nr,Idaho,National Park Service,City Of Rocks National Reserve,National Park Junior Ranger Virtual Programs,/Users/carterswarm/Downloads/JR_Rewards_Badges/Virtual/_Agency Header/051 - National Park Junior Ranger Virtual Programs - 56b276070b.png,Image title did not match mapped site tokens
jr_illinois_pullman_nhp,Illinois,National Park Service,Pullman National Historical Park,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/172 - National Trails - b7c9af51be.jpg,Image title did not match mapped site tokens
