hash,fileName,fileId,viewUrl,thumbnailUrl,localFile
0166cecfba,jr-reward-0166cecfba.webp,10hoD3iGySOcMeXTsENIph1Be7kkFLzfK,https://drive.google.com/file/d/10hoD3iGySOcMeXTsENIph1Be7kkFLzfK/view?usp=drivesdk,https://drive.google.com/thumbnail?id=10hoD3iGySOcMeXTsENIph1Be7kkFLzfK&sz=w1600,01-code/app/assets/badges/jr-rewards/0166cecfba.webp
02157a9d75,jr-reward-02157a9d75.webp,1ARoIG5Vv7cyhGibg_i-9JOCOmDI89nIp,https://drive.google.com/file/d/1ARoIG5Vv7cyhGibg_i-9JOCOmDI89nIp/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1ARoIG5Vv7cyhGibg_i-9JOCOmDI89nIp&sz=w1600,01-code/app/assets/badges/jr-rewards/02157a9d75.webp
023d517253,jr-reward-023d517253.webp,1l_mGgBo4foE00mXvUDo8ARvjejhNb_rZ,https://drive.google.com/file/d/1l_mGgBo4foE00mXvUDo8ARvjejhNb_rZ/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1l_mGgBo4foE00mXvUDo8ARvjejhNb_rZ&sz=w1600,01-code/app/assets/badges/jr-rewards/023d517253.webp
025099d4a0,jr-reward-025099d4a0.webp,1hWWeLyeVV5wKAbvFRmHIh_P1tBVxh4qX,https://drive.google.com/file/d/1hWWeLyeVV5wKAbvFRmHIh_P1tBVxh4qX/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1hWWeLyeVV5wKAbvFRmHIh_P1tBVxh4qX&sz=w1600,01-code/app/assets/badges/jr-rewards/025099d4a0.webp
025b5c8bac,jr-reward-025b5c8bac.webp,1mytajZ1BHDMb3_lMIUzF3nXmbjULbpjY,https://drive.google.com/file/d/1mytajZ1BHDMb3_lMIUzF3nXmbjULbpjY/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1mytajZ1BHDMb3_lMIUzF3nXmbjULbpjY&sz=w1600,01-code/app/assets/badges/jr-rewards/025b5c8bac.webp
0282a65960,jr-reward-0282a65960.webp,14ACyalzEaPXCcmIRjIk_lcRTzOIoznVu,https://drive.google.com/file/d/14ACyalzEaPXCcmIRjIk_lcRTzOIoznVu/view?usp=drivesdk,https://drive.google.com/thumbnail?id=14ACyalzEaPXCcmIRjIk_lcRTzOIoznVu&sz=w1600,01-code/app/assets/badges/jr-rewards/0282a65960.webp
02d152d48d,jr-reward-02d152d48d.webp,1G9z3JLat9O7C2wBKGHXp8uVoC7ay0LdZ,https://drive.google.com/file/d/1G9z3JLat9O7C2wBKGHXp8uVoC7ay0LdZ/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1G9z3JLat9O7C2wBKGHXp8uVoC7ay0LdZ&sz=w1600,01-code/app/assets/badges/jr-rewards/02d152d48d.webp
02d1894f2d,jr-reward-02d1894f2d.webp,18csy7iOFfs2YIAvorCkqKsd9sDONX1Mm,https://drive.google.com/file/d/18csy7iOFfs2YIAvorCkqKsd9sDONX1Mm/view?usp=drivesdk,https://drive.google.com/thumbnail?id=18csy7iOFfs2YIAvorCkqKsd9sDONX1Mm&sz=w1600,01-code/app/assets/badges/jr-rewards/02d1894f2d.webp
02fc762701,jr-reward-02fc762701.webp,10ONYFr9C_bz3c9_WwFe_ok9luDEmIXVe,https://drive.google.com/file/d/10ONYFr9C_bz3c9_WwFe_ok9luDEmIXVe/view?usp=drivesdk,https://drive.google.com/thumbnail?id=10ONYFr9C_bz3c9_WwFe_ok9luDEmIXVe&sz=w1600,01-code/app/assets/badges/jr-rewards/02fc762701.webp
02fc997841,jr-reward-02fc997841.webp,12nzdYu5wJaBe7ZELqACfoP5XtMGlIW2a,https://drive.google.com/file/d/12nzdYu5wJaBe7ZELqACfoP5XtMGlIW2a/view?usp=drivesdk,https://drive.google.com/thumbnail?id=12nzdYu5wJaBe7ZELqACfoP5XtMGlIW2a&sz=w1600,01-code/app/assets/badges/jr-rewards/02fc997841.webp
